ship_name,cruise_line,imo_number,ship_count,cruise_type,service_start,service_end,tier
FOUR SEASONS I,Four Seasons,9988255,1,Luxury Cruise,2026-03-20,,4
DISNEY DESTINY,Disney Cruise Line,9834741,1,Ocean Cruise,2025-11-20,,1
ICON OF THE SEAS,Royal Caribbean,9829930,1,Ocean Cruise,2024-01-27,,1
CELEBRITY XCEL,Celebrity Cruises,9884136,1,Ocean Cruise,2025-11-18,,1
DISNEY TREASURE,Disney Cruise Line,9834753,1,Ocean Cruise,2024-12-21,,1
MEIN SCHIFF RELAX,TUI Cruises,9862657,1,Ocean Cruise,2025-02-07,,1
STAR OF THE SEAS,Royal Caribbean,9829942,1,Ocean Cruise,2025-08-31,,1
SILVER NOVA,Silversea Cruises,9886213,1,Luxury Cruise,2023-08-14,,2
STAR PRINCESS,Princess Cruises,9863120,2,Ocean Cruise,2025-10-04,,1
ENCHANTED PRINCESS,Princess Cruises,9807126,1,Ocean Cruise,2021-11-10,,1
MEIN SCHIFF 7,TUI Cruises,9851189,1,Ocean Cruise,2024-06-12,,1
QUEEN ANNE,Cunard,9839399,1,Ocean Cruise,2024-05-03,,1
IONA,P&O UK (P&O Cruises),9826548,2,Ocean Cruise,2021-05-16,,1
MS ROTTERDAM,Holland America,9837470,1,Ocean Cruise,2021-10-20,,1
SUN PRINCESS,Princess Cruises,9863118,1,Ocean Cruise,2024-02-28,,1
DISNEY WISH,Disney Cruise Line,9834739,1,Ocean Cruise,2022-07-14,,1
CELEBRITY EDGE,Celebrity Cruises,9812705,1,Ocean Cruise,2018-12-09,,1
DISCOVERY PRINCESS,Princess Cruises,9837468,1,Ocean Cruise,2022-03-27,,1
BRILLIANT LADY,Virgin Voyages,9870654,1,Ocean Cruise,2025-08-21,,1
MSC WORLD AMERICA,MSC Cruises,9837432,1,Ocean Cruise,2025-04-12,,1
ARVIA,P&O UK (P&O Cruises),9849693,2,Ocean Cruise,2022-12-23,,1
MSC WORLD EUROPA,MSC Cruises,9837420,1,Ocean Cruise,2022-12-20,,1
CARNIVAL JUBILEE,Carnival Cruise Line,9851737,1,Ocean Cruise,2023-12-23,,1
NORWEGIAN BLISS,Norwegian Cruise Line,9751509,1,Ocean Cruise,2018-06-02,,1
SKY PRINCESS,Princess Cruises,9802396,1,Ocean Cruise,2019-10-20,,1
VIKING NEPTUNE,Viking Ocean (Viking Cruises),9845910,1,Ocean Cruise,2022-12-22,,2
NORWEGIAN AQUA,Norwegian Cruise Line,9824007,1,Ocean Cruise,2025-03-24,,1
CELEBRITY ASCENT,Celebrity Cruises,9838400,1,Ocean Cruise,2023-12-03,,1
CARNIVAL MARDI GRAS,Carnival Cruise Line,9837444,1,Ocean Cruise,2021-07-31,,1
VALIANT LADY,Virgin Voyages,9805336,1,Ocean Cruise,2022-03-18,,1
NORWEGIAN ESCAPE,Norwegian Cruise Line,9677076,1,Ocean Cruise,2015-11-09,,1
HARMONY OF THE SEAS,Royal Caribbean,9682875,1,Ocean Cruise,2016-05-29,,1
CELEBRITY BEYOND,Celebrity Cruises,9838395,1,Ocean Cruise,2022-04-27,,1
RESILIENT LADY,Virgin Voyages,9805348,1,Ocean Cruise,2023-05-14,,1
MS NIEUW STATENDAM,Holland America,9767106,1,Ocean Cruise,2018-12-05,,1
MS KONINGSDAM,Holland America,9692557,1,Ocean Cruise,2016-04-08,,1
WONDER OF THE SEAS,Royal Caribbean,9838345,1,Ocean Cruise,2022-03-04,,1
CARNIVAL BREEZE,Carnival Cruise Line,9555723,1,Ocean Cruise,,,1
EXPLORA II,MSC Explora Journeys,9869887,1,Luxury Cruise,2024-09-16,,2
MSC EURIBIA,MSC Cruises,9901544,1,Ocean Cruise,2023-06-03,,1
COSTA TOSCANA,Costa Cruises,9781891,1,Ocean Cruise,2022-03-05,,1
NORWEGIAN ENCORE,Norwegian Cruise Line,9751511,1,Ocean Cruise,2019-11-02,,1
ODYSSEY OF THE SEAS,Royal Caribbean,9795737,1,Ocean Cruise,2021-07-31,,1
CARNIVAL LIBERTY,Carnival Cruise Line,9278181,1,Ocean Cruise,,,1
NORWEGIAN STAR,Norwegian Cruise Line,9195157,1,Ocean Cruise,,,1
QUEEN MARY 2,Cunard,9241061,1,Ocean Cruise,,,1
UTOPIA OF THE SEAS,Royal Caribbean,9880001,1,Ocean Cruise,2024-07-15,,1
SPIRIT OF ADVENTURE,Saga Ocean Cruises (Saga Cruises),9818084,1,Ocean Cruise,2021-07-26,,2
CARNIVAL VISTA,Carnival Cruise Line,9692569,1,Ocean Cruise,2016-05-01,,1
CELEBRITY EQUINOX,Celebrity Cruises,9372456,1,Ocean Cruise,,,1
NORWEGIAN PRIMA,Norwegian Cruise Line,9823986,1,Ocean Cruise,2022-08-27,,1
CARNIVAL CELEBRATION,Carnival Cruise Line,9837456,1,Ocean Cruise,2022-11-06,,1
AZURA,P&O UK (P&O Cruises),9424883,1,Ocean Cruise,,,1
NORWEGIAN JEWEL,Norwegian Cruise Line,9304045,1,Ocean Cruise,,,1
RUBY PRINCESS,Princess Cruises,9378462,1,Ocean Cruise,,,1
CELEBRITY REFLECTION,Celebrity Cruises,9506459,1,Ocean Cruise,,,1
NORWEGIAN BREAKAWAY,Norwegian Cruise Line,9606912,1,Ocean Cruise,,,1
BRITANNIA,P&O UK (P&O Cruises),9614036,2,Ocean Cruise,2015-03-14,,1
MSC SEASIDE,MSC Cruises,9745366,1,Ocean Cruise,2017-12-21,,1
CARNIVAL PRIDE,Carnival Cruise Line,9223954,1,Ocean Cruise,,,1
NORWEGIAN JADE,Norwegian Cruise Line,9304057,1,Ocean Cruise,,,1
VENTURA,P&O UK (P&O Cruises),9333175,1,Ocean Cruise,,,1
EMERALD PRINCESS,Princess Cruises,9333151,1,Ocean Cruise,,,1
SYMPHONY OF THE SEAS,Royal Caribbean,9744001,1,Ocean Cruise,2018-04-07,,1
ANTHEM OF THE SEAS,Royal Caribbean,9656101,1,Ocean Cruise,2015-04-22,,1
MSC SEASHORE,MSC Cruises,9843792,1,Ocean Cruise,2021-08-01,,1
ALLURE OF THE SEAS,Royal Caribbean,9383948,1,Ocean Cruise,,,1
ADVENTURE OF THE SEAS,Royal Caribbean,9167227,1,Ocean Cruise,,,1
MSC GRANDIOSA,MSC Cruises,9803613,1,Ocean Cruise,2019-11-09,,1
CARNIVAL GLORY,Carnival Cruise Line,9198367,1,Ocean Cruise,,,1
OCEANA,P&O UK (P&O Cruises),9169550,2,Ocean Cruise,,2020-07-21,1
DISNEY FANTASY,Disney Cruise Line,9445590,1,Ocean Cruise,,,1
DISNEY MAGIC,Disney Cruise Line,9126807,1,Ocean Cruise,,,1
CARNIVAL CONQUEST,Carnival Cruise Line,9198355,1,Ocean Cruise,,,1
CARNIVAL DREAM,Carnival Cruise Line,9378474,1,Ocean Cruise,,,1
GRAND PRINCESS,Princess Cruises,9104005,1,Ocean Cruise,,,1
CARIBBEAN PRINCESS,Princess Cruises,9215490,1,Ocean Cruise,,,1
NORWEGIAN EPIC,Norwegian Cruise Line,9410569,1,Ocean Cruise,,,1
NORWEGIAN GETAWAY,Norwegian Cruise Line,9606924,1,Ocean Cruise,,,1
QUEEN ELIZABETH,Cunard,9477438,1,Ocean Cruise,,,1
LIBERTY OF THE SEAS,Royal Caribbean,9330032,1,Ocean Cruise,,,1
NORWEGIAN VIVA,Norwegian Cruise Line,9823998,1,Ocean Cruise,2023-08-03,,1
COSTA SMERALDA,Costa Cruises,9781889,1,Ocean Cruise,2019-11-16,,1
CARNIVAL HORIZON,Carnival Cruise Line,9767091,1,Ocean Cruise,2018-04-02,,1
NORWEGIAN GEM,Norwegian Cruise Line,9355733,1,Ocean Cruise,,,1
SEVEN SEAS GRANDEUR,Regent Seven Seas Cruises,9877444,2,Luxury Cruise,2023-11-18,,2
MEIN SCHIFF 2,TUI Cruises,9783576,1,Ocean Cruise,2019-02-09,,1
MSC DIVINA,MSC Cruises,9585285,1,Ocean Cruise,,,1
AURORA,P&O UK (P&O Cruises),9169524,1,Ocean Cruise,,,1
SCARLET LADY,Virgin Voyages,9804801,1,Ocean Cruise,2020-02-14,,1
JEWEL OF THE SEAS,Royal Caribbean,9228356,1,Ocean Cruise,,,1
REGAL PRINCESS,Princess Cruises,9584724,1,Ocean Cruise,,,1
MSC ORCHESTRA,MSC Cruises,9320099,1,Ocean Cruise,,,1
CARNIVAL FREEDOM,Carnival Cruise Line,9333149,1,Ocean Cruise,,,1
DISNEY DREAM,Disney Cruise Line,9434254,1,Ocean Cruise,,,1
CARNIVAL VALOR,Carnival Cruise Line,9236389,1,Ocean Cruise,,,1
MSC VIRTUOSA,MSC Cruises,9803625,1,Ocean Cruise,2021-05-20,,1
CELEBRITY APEX,Celebrity Cruises,9838383,1,Ocean Cruise,2020-02-04,,1
ISLAND PRINCESS,Princess Cruises,9230402,1,Ocean Cruise,,,1
AIDACOSMA,AIDA Cruises,9781877,1,Ocean Cruise,2022-02-26,,1
NAVIGATOR OF THE SEAS,Royal Caribbean,9227508,1,Ocean Cruise,,,1
VIKING VENUS,Viking Ocean (Viking Cruises),9833175,1,Ocean Cruise,2021-05-22,,2
VIKING SKY,Viking Ocean (Viking Cruises),9650420,1,Ocean Cruise,2017-02-25,,2
RITZ CARLTON ILMA,Ritz-Carlton Yacht Collection,9967586,1,Luxury Cruise,2024-09-19,,2
MSC MERAVIGLIA,MSC Cruises,9760512,1,Ocean Cruise,2017-06-03,,1
COSTA ATLANTICA,Costa Cruises,9187796,2,Ocean Cruise,2024-06-14,,1
QUANTUM OF THE SEAS,Royal Caribbean,9549463,1,Ocean Cruise,,,1
MS EURODAM,Holland America,9378448,1,Ocean Cruise,,,1
CELEBRITY SILHOUETTE,Celebrity Cruises,9451094,1,Ocean Cruise,,,1
CELEBRITY CONSTELLATION,Celebrity Cruises,9192399,1,Ocean Cruise,,,1
CARNIVAL PANORAMA,Carnival Cruise Line,9802384,1,Ocean Cruise,2019-12-10,,1
INDEPENDENCE OF THE SEAS,Royal Caribbean,9349681,1,Ocean Cruise,,,1
CARNIVAL MAGIC,Carnival Cruise Line,9378486,1,Ocean Cruise,,,1
AIDANOVA,AIDA Cruises,9781865,1,Ocean Cruise,2018-12-19,,1
GRANDEUR OF THE SEAS,Royal Caribbean,9102978,1,Ocean Cruise,,,1
CARNIVAL SUNSHINE,Carnival Cruise Line,9070058,2,Ocean Cruise,,,1
MS VOLENDAM,Holland America,9156515,1,Ocean Cruise,,,1
MS ZAANDAM,Holland America,9156527,1,Ocean Cruise,,,1
MS NOORDAM,Holland America,9230115,1,Ocean Cruise,,,1
NORWEGIAN DAWN,Norwegian Cruise Line,9195169,1,Ocean Cruise,,,1
OASIS OF THE SEAS,Royal Caribbean,9383936,1,Ocean Cruise,,,1
ENCHANTMENT OF THE SEAS,Royal Caribbean,9111802,1,Ocean Cruise,,,1
MS NIEUW AMSTERDAM,Holland America,9378450,1,Ocean Cruise,,,1
BRILLIANCE OF THE SEAS,Royal Caribbean,9195200,1,Ocean Cruise,,,1
DISNEY WONDER,Disney Cruise Line,9126819,1,Ocean Cruise,,,1
VIKING ORION,Viking Ocean (Viking Cruises),9796250,1,Ocean Cruise,2018-06-14,,2
CARNIVAL MIRACLE,Carnival Cruise Line,9237357,1,Ocean Cruise,,,1
SPIRIT OF DISCOVERY,Saga Ocean Cruises (Saga Cruises),9802683,1,Ocean Cruise,2019-07-05,,2
SEVEN SEAS EXPLORER,Regent Seven Seas Cruises,9703150,1,Luxury Cruise,2016-07-13,,2
CELEBRITY SUMMIT,Celebrity Cruises,9192387,1,Ocean Cruise,,,1
CARNIVAL IMAGINATION,Carnival Cruise Line,9053878,1,Ocean Cruise,,2020-03-15,1
MS OOSTERDAM,Holland America,9221281,1,Ocean Cruise,,,1
MS WESTERDAM,Holland America,9226891,1,Ocean Cruise,,,1
CARNIVAL LEGEND,Carnival Cruise Line,9224726,2,Ocean Cruise,,,1
VIKING SEA,Viking Ocean (Viking Cruises),9725421,1,Ocean Cruise,2016-04-03,,2
VIKING JUPITER,Viking Ocean (Viking Cruises),9796262,1,Ocean Cruise,2019-02-14,,2
MS ZUIDERDAM,Holland America,9221279,1,Ocean Cruise,,,1
FREEDOM OF THE SEAS,Royal Caribbean,9304033,1,Ocean Cruise,,,1
VIKING VELA,Viking Ocean (Viking Cruises),9852432,1,Ocean Cruise,2024-12-12,,2
CORAL PRINCESS,Princess Cruises,9229659,1,Ocean Cruise,,,1
SEVEN SEAS SPLENDOR,Regent Seven Seas Cruises,9807085,1,Luxury Cruise,2020-02-01,,2
VISION OF THE SEAS,Royal Caribbean,9116876,1,Ocean Cruise,,,1
CARNIVAL FANTASY,Carnival Cruise Line,8700773,1,Ocean Cruise,,2020-07-15,1
EXPLORER OF THE SEAS,Royal Caribbean,9161728,1,Ocean Cruise,,,1
CARNIVAL SPLENDOR,Carnival Cruise Line,9333163,1,Ocean Cruise,,,1
PRIDE OF AMERICA,Norwegian Cruise Line,9209221,1,Ocean Cruise,,,1
MARINER OF THE SEAS,Royal Caribbean,9227510,1,Ocean Cruise,,,1
CELEBRITY MILLENNIUM,Celebrity Cruises,9189419,1,Ocean Cruise,,,1
MSC PREZIOSA,MSC Cruises,9595321,1,Ocean Cruise,,,1
NORWEGIAN SKY,Norwegian Cruise Line,9128532,1,Ocean Cruise,,,1
ARCADIA,P&O UK (P&O Cruises),9226906,1,Ocean Cruise,,,1
MSC POESIA,MSC Cruises,9387073,1,Ocean Cruise,,,1
SERENADE OF THE SEAS,Royal Caribbean,9228344,1,Ocean Cruise,,,1
SEABOURN OVATION,Seabourn Cruises,9764958,1,Luxury Cruise,2018-05-11,,2
SILVER MUSE,Silversea Cruises,9784350,1,Luxury Cruise,2018-04-17,,2
ROYAL PRINCESS,Princess Cruises,9584712,1,Ocean Cruise,,,1
NORWEGIAN SPIRIT,Norwegian Cruise Line,9141065,1,Ocean Cruise,,,1
CROWN PRINCESS,Princess Cruises,9293399,1,Ocean Cruise,,,1
CELEBRITY ECLIPSE,Celebrity Cruises,9404314,1,Ocean Cruise,,,1
CELEBRITY INFINITY,Celebrity Cruises,9189421,1,Ocean Cruise,,,1
AZAMARA QUEST,Azamara Cruises,9210218,2,Ocean Cruise,,,2
SILVER RAY,Silversea Cruises,9886225,1,Luxury Cruise,2024-06-15,,2
CARNIVAL ELATION,Carnival Cruise Line,9118721,1,Ocean Cruise,,,1
NORWEGIAN PEARL,Norwegian Cruise Line,9342281,1,Ocean Cruise,,,1
OCEANIA VISTA,Oceania Cruises,9876957,1,Ocean Cruise,2023-04-14,,2
VIKING MARS,Viking Ocean (Viking Cruises),9833187,1,Ocean Cruise,2022-05-28,,2
DIAMOND PRINCESS,Princess Cruises,9228198,2,Ocean Cruise,,,1
QUEEN VICTORIA,Cunard,9320556,1,Ocean Cruise,,,1
AZAMARA JOURNEY,Azamara Cruises,9200940,2,Ocean Cruise,,,2
OVATION OF THE SEAS,Royal Caribbean,9697753,1,Ocean Cruise,2016-04-14,,1
COSTA DIADEMA,Costa Cruises,9636888,1,Ocean Cruise,,,1
OCEANIA ALLURA,Oceania Cruises,9876969,1,Ocean Cruise,2025-07-18,,2
RADIANCE OF THE SEAS,Royal Caribbean,9195195,1,Ocean Cruise,,,1
CARNIVAL ECSTASY,Carnival Cruise Line,8711344,1,Ocean Cruise,,2022-10-15,1
SPECTRUM OF THE SEAS,Royal Caribbean,9778856,2,Ocean Cruise,2019-04-18,,1
NORWEGIAN SUN,Norwegian Cruise Line,9218131,1,Ocean Cruise,,,1
MEIN SCHIFF 1,TUI Cruises,9783564,1,Ocean Cruise,2018-04-27,,1
CELEBRITY SOLSTICE,Celebrity Cruises,9362530,1,Ocean Cruise,,,1
SILVER DAWN,Silversea Cruises,9857937,1,Luxury Cruise,2022-03-18,,2
MSC MUSICA,MSC Cruises,9320087,1,Ocean Cruise,,,1
CARNIVAL SPIRIT,Carnival Cruise Line,9188647,2,Ocean Cruise,,,1
BOREALIS,Fred Olsen Cruise Lines,9122552,2,Ocean Cruise,,,2
EXPLORA I,MSC Explora Journeys,9869875,1,Luxury Cruise,2023-07-17,,2
RHAPSODY OF THE SEAS,Royal Caribbean,9116864,1,Ocean Cruise,,,1
MEIN SCHIFF 6,TUI Cruises,9753208,1,Ocean Cruise,2017-05-12,,1
SILVER MOON,Silversea Cruises,9838618,1,Luxury Cruise,2021-06-18,,2
MS DREAM CHARMING,Foresee Cruises China,9150913,2,Ocean Cruise,,2020-11-01,4
MSC SEAVIEW,MSC Cruises,9745378,1,Ocean Cruise,2018-06-09,,1
AIDAPERLA,AIDA Cruises,9636967,1,Ocean Cruise,2017-06-01,,1
VIKING STAR,Viking Ocean (Viking Cruises),9650418,1,Ocean Cruise,2015-04-11,,2
MSC MAGNIFICA,MSC Cruises,9387085,1,Ocean Cruise,,,1
VOYAGER OF THE SEAS,Royal Caribbean,9161716,1,Ocean Cruise,,,1
BOLETTE,Fred Olsen Cruise Lines,9188037,2,Ocean Cruise,,,2
BALMORAL,Fred Olsen Cruise Lines,8506294,1,Ocean Cruise,,,2
CARNIVAL ENCOUNTER,Carnival Cruise Line,9192363,3,Ocean Cruise,,,1
CELEBRITY FLORA,Celebrity Cruises,9837925,1,Ocean Cruise,2019-06-30,,1
SEABOURN ENCORE,Seabourn Cruises,9731171,1,Luxury Cruise,2017-01-07,,2
